City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
586,Mairinque,BR,70.41,scattered clouds,-23.5458,-47.1833,Sorocabana Palace Hotel
592,Valdivia,CL,71.69,clear sky,-39.8142,-73.2459,Hostal Entre Rios
593,Morant Bay,JM,80.22,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
595,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
596,Toro,CO,78.08,broken clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
597,Omboue,GA,77.23,overcast clouds,-1.5746,9.2618,Hotel Olako
600,Maxixe,MZ,72.72,clear sky,-23.8597,35.3472,Oceano
601,Saint-Leu,RE,76.06,light rain,-21.15,55.2833,La Caz Oceane
602,Moundou,TD,74.79,clear sky,8.5667,16.0833,Planete Life
614,Celestun,MX,73.92,broken clouds,20.8667,-90.4,Posada Lilia
619,Tocopilla,CL,70.48,clear sky,-22.092,-70.1979,Hotel Galvarino
623,Chiredzi,ZW,70.65,few clouds,-21.05,31.6667,Clevers Hotel Chiredzi
630,Carutapera,BR,76.03,overcast clouds,-1.195,-46.02,Lidera
632,Dimbokro,CI,74.35,clear sky,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
634,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
635,Bull Savanna,JM,74.28,scattered clouds,17.8868,-77.5902,Big Red's
