City_ID,City,Country,Lat,Lng,Max Temp,Percent Humidity,Percent Cloudiness,Wind Speed,Current Weather Description
124,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,83,93,5.73,overcast clouds
125,Abha,SA,18.2164,42.5053,55.65,82,0,5.75,clear sky
126,Sorland,NO,67.667,12.6934,35.65,53,100,14.88,overcast clouds
127,Namibe,AO,-15.1961,12.1522,75.79,82,91,7.31,overcast clouds
128,Port-Gentil,GA,-0.7193,8.7815,80.47,85,73,8.7,light rain
129,Saint-Francois,FR,46.4154,3.9054,35.67,86,0,5.75,clear sky
130,Cabedelo,BR,-6.9811,-34.8339,84.87,71,66,10.16,broken clouds
131,Olhao,PT,37.0286,-7.8411,58.89,88,0,3.44,clear sky
132,Saint-Philippe,RE,-21.3585,55.7679,78.35,84,28,11.12,scattered clouds
133,Cap Malheureux,MU,-19.9842,57.6142,79.47,83,6,3.0,clear sky
134,Sistranda,NO,63.7256,8.834,36.9,74,100,14.43,light rain
135,Salalah,OM,17.0151,54.0924,75.29,64,75,6.91,broken clouds
136,Yarega,RU,63.4354,53.5765,12.54,96,100,5.5,overcast clouds
137,Knysna,ZA,-34.0363,23.0471,70.18,91,83,3.87,broken clouds
138,Bogorodskoye,RU,56.55,37.8833,26.1,90,91,12.97,overcast clouds
139,Mar Del Plata,AR,-38.0023,-57.5575,66.22,66,40,18.41,scattered clouds
140,Kaoma,ZM,-14.7833,24.8,64.83,96,100,5.08,overcast clouds
141,Kondinskoye,RU,59.6481,67.41,4.89,95,100,7.63,overcast clouds
142,Kjollefjord,NO,70.9457,27.3465,24.62,80,75,20.71,light snow
143,Korla,CN,41.7597,86.1469,28.76,48,100,8.75,overcast clouds
144,Saint-Augustin,CA,51.226,-58.6502,33.06,98,100,18.63,light snow
145,Touros,BR,-5.1989,-35.4608,86.9,72,33,9.98,scattered clouds
146,Kormilovka,RU,55.0026,74.1028,1.15,96,100,8.05,light snow
147,Sheffield,GB,53.383,-1.4659,46.58,91,100,1.99,overcast clouds
148,Orahovac,XK,42.3994,20.6547,40.53,75,100,3.94,overcast clouds
149,Peniche,PT,39.3558,-9.3811,56.68,83,25,10.54,scattered clouds
150,Camacha,PT,33.0833,-16.3333,60.22,72,75,14.97,broken clouds
151,Elmadag,TR,39.9208,33.2308,37.45,83,100,1.92,overcast clouds
152,Mehamn,NO,71.0357,27.8492,24.75,80,75,20.71,light snow
153,Lasa,IT,46.6166,10.7002,29.35,50,19,1.57,few clouds
154,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,84,100,10.0,overcast clouds
155,Hamilton,US,39.1834,-84.5333,31.64,77,100,10.36,overcast clouds
156,Argir,FO,61.9959,-6.7715,40.17,90,96,6.08,overcast clouds
157,Lukovetskiy,RU,64.2956,41.9211,13.98,97,80,4.88,broken clouds
158,Pangnirtung,CA,66.1451,-65.7125,-5.8,77,100,14.97,light snow
159,Santa Isabel,BR,-23.3156,-46.2214,78.37,84,45,8.14,scattered clouds
160,Axim,GH,4.8699,-2.2405,79.68,84,94,7.81,overcast clouds
161,Antofagasta,CL,-23.65,-70.4,75.22,62,2,10.51,clear sky
162,Ornskoldsvik,SE,63.2909,18.7153,25.75,93,20,1.14,few clouds
163,Ambilobe,MG,-13.2,49.05,72.59,96,86,2.57,light rain
164,Klaksvik,FO,62.2266,-6.589,40.12,88,100,6.64,overcast clouds
165,Kargasok,RU,59.0556,80.8572,-7.01,100,71,8.28,broken clouds
166,Irbil,IQ,36.1926,44.0106,44.42,61,0,1.14,clear sky
167,Tessalit,ML,20.1986,1.0114,70.59,12,0,8.43,clear sky
168,Blagoyevo,RU,63.3667,47.9167,16.14,95,99,5.7,overcast clouds
169,Capaccio,IT,40.4244,15.0809,49.03,82,100,6.13,overcast clouds
170,Oussouye,SN,12.485,-16.5469,82.98,18,1,9.98,clear sky
171,Ribeira Grande,PT,38.5167,-28.7,63.0,77,40,19.57,scattered clouds
172,Boa Vista,BR,2.8197,-60.6733,93.18,38,75,14.97,broken clouds
173,Sisimiut,GL,66.9395,-53.6735,11.7,84,100,28.07,overcast clouds
174,Necochea,AR,-38.5473,-58.7368,70.03,47,2,10.27,clear sky
175,Roald,NO,62.5833,6.1333,42.94,75,75,8.05,broken clouds
176,Asfi,MA,32.2994,-9.2372,59.05,84,3,14.67,clear sky
177,Argentan,FR,48.75,-0.0167,40.77,75,53,7.25,broken clouds
178,Lubango,AO,-14.9172,13.4925,58.93,66,61,4.81,broken clouds
179,Bhilai,IN,21.2167,81.4333,59.83,24,49,4.63,scattered clouds
180,Biltine,TD,14.5333,20.9167,75.85,11,5,7.87,clear sky
181,Kruisfontein,ZA,-34.0033,24.7314,72.1,90,92,8.28,overcast clouds
182,Kabompo,ZM,-13.5927,24.2008,64.8,96,100,4.43,light rain
183,Sumbe,AO,-11.2061,13.8437,77.04,79,64,7.29,broken clouds
184,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,83,100,11.14,overcast clouds
185,Boca Do Acre,BR,-8.7522,-67.3978,88.7,55,80,2.35,broken clouds
186,Hami,CN,42.8,93.45,27.95,52,82,0.89,broken clouds
187,Brokopondo,SR,4.75,-55.1667,78.76,88,90,8.01,overcast clouds
188,Mayumba,GA,-3.432,10.6554,78.62,89,100,5.95,overcast clouds
189,Clyde River,CA,70.4692,-68.5914,-14.71,93,100,26.55,light snow
190,Gonzalez,US,30.5816,-87.2914,69.17,69,75,4.61,broken clouds
191,Oranjestad,AW,12.524,-70.027,78.46,80,73,25.12,broken clouds
192,Cidreira,BR,-30.1811,-50.2056,77.52,71,1,18.95,clear sky
193,Souillac,MU,-20.5167,57.5167,79.36,86,14,9.53,light rain
194,Dinan,FR,48.4167,-2.25,43.12,82,66,9.75,broken clouds
